Binary,Event Type,Event
/usr/libexec/securityuploadd,,??
/usr/libexec/secinitd,notify_post,com.apple.secinitd.account-changed
/usr/libexec/secinitd,notify_register_dispatch,com.apple.secinitd.account-changed
/usr/libexec/biometrickitd,notify_post,com.apple.biometrickitd.debugLogEnabled
/System/Library/PrivateFrameworks/AOSAccounts.framework/Versions/A/AOSAccounts,notify_register_dispatch,com.apple.security.secureobjectsync.circlechanged
/usr/libexec/nfcd,notify_post,com.apple.stockholm.sessions.active
/usr/libexec/nfcd,notify_post,com.apple.request.hipuncap
/usr/libexec/nfcd,notify_post,com.apple.stockholm.field.on
/usr/libexec/nfcd,notify_post,com.apple.stockholm.field.off
/usr/libexec/nfcd,notify_post,com.apple.nearfield.handoff.terminal
/usr/libexec/nfcd,notify_post,com.apple.stockholm.reader.cardLost
/usr/libexec/nfcd,notify_post,com.apple.stockholm.reader.cardDetected
/usr/libexec/nfcd,notify_register_check,com.apple.stockholm.sessions.active
/usr/libexec/nfcd,notify_register_check,com.apple.request.hipuncap
/usr/sbin/netbiosd,,
/usr/sbin/BootCacheControl,notify_post,com.apple.system.private.bootcache.done
/usr/sbin/KernelEventAgent,notify_post,com.apple.system.kernel.mount
/usr/sbin/KernelEventAgent,notify_post,com.apple.system.kernel.unmount
/usr/sbin/KernelEventAgent,notify_post,com.apple.system.kernel.mountupdate
/usr/sbin/KernelEventAgent,notify_post,com.apple.system.verylowdiskspace
/usr/sbin/KernelEventAgent,notify_post,com.apple.system.lowdiskspace
/usr/sbin/appsleepd,notify_post,_NS_ctasd
/usr/sbin/appsleepd,notify_register_check,_NS_ctasd
/usr/sbin/syslogd,notify_post,com.apple.system.utmpx
/usr/sbin/syslogd,notify_post,com.apple.system.lastlog
/usr/sbin/syslogd,notify_post,com.apple.system.logger.message
/usr/sbin/syslogd,notify_register_check,com.apple.system.hostname
/usr/sbin/syslogd,notify_register_dispatch,com.apple.system.config.network_change
/usr/sbin/usernoted,notify_post,SignificantTimeChangeNotification
/usr/sbin/distnoted,notify_post,com.apple.distnote.locale_changed
/usr/sbin/distnoted,notify_post,com.apple.MCX._managementStatusChangedForDomains
/usr/sbin/distnoted,notify_post,com.apple.CFPreferences._domainsChangedExternally
/usr/sbin/cupsd,notify_post,com.apple.printerListChange
/usr/sbin/cupsd,notify_post,com.apple.printerHistoryChange
/usr/sbin/cupsd,notify_post,com.apple.jobChange
/usr/sbin/cupsd,notify_register_dispatch,com.apple.system.powersources.source
/usr/sbin/wirelessproxd,,??
/usr/sbin/softwareupdate,notify_post,com.apple.SoftwareUpdate.TriggerBackgroundCheck
/usr/sbin/softwareupdate,notify_post,com.apple.SoftwareUpdate.CheckForCatalogChange
/usr/sbin/xscertadmin,notify_post,com.apple.opendirectory.cert.renewed
/usr/sbin/auditd,notify_post,com.apple.audit.change
/usr/sbin/defragcli,,??
/usr/sbin/pppd,notify_post,com.apple.system.dns.delay
/usr/sbin/bluetoothd,notify_post,com.apple.bluetooth.sensorTracking.stateChanged
/usr/sbin/bluetoothd,notify_post,com.apple.bluetooth.daemonStarted
/usr/sbin/bluetoothd,notify_post,com.apple.bluetooth.poweredOn
/usr/sbin/bluetoothd,notify_post,com.apple.bluetooth.deviceUpdated
/usr/sbin/bluetoothd,notify_post,com.apple.bluetooth.preferencesUpdated
/usr/sbin/bluetoothd,notify_post,com.apple.bluetooth.logging.disabled
/usr/sbin/bluetoothd,notify_post,com.apple.bluetooth.logging.enabled
/usr/sbin/bluetoothd,notify_post,com.apple.wirelessproxd.logging.status
/usr/sbin/bluetoothd,notify_register_check,com.apple.bluetooth.sensorTracking.stateChanged
/usr/sbin/bluetoothd,notify_register_dispatch,com.apple.bluetooth.status
/usr/sbin/bluetoothd,notify_register_dispatch,com.apple.system.powersources.timeremaining
/usr/sbin/securityd,notify_post,com.apple.security.certificatetrust
/usr/bin/layerutil,notify_post,com.apple.coreui.statistics
/usr/bin/layerutil,notify_register_check,com.apple.coreui.statistics
/usr/sbin/systemstats,notify_post,com.apple.systemstats.sample-processes-done
/usr/sbin/systemstats,notify_register_dispatch,com.apple.system.powersources.timeremaining
/usr/sbin/systemstats,notify_register_dispatch,com.apple.system.loginwindow.wakeTimingLogged
/usr/sbin/systemstats,notify_register_dispatch,com.apple.systemstats.sample-processes-now
/usr/sbin/systemstats,notify_register_dispatch,com.apple.systemstats.sample-immediate
/usr/sbin/systemstats,notify_register_dispatch,com.apple.system.loginwindow.shutdownInitiated
/usr/sbin/systemstats,notify_register_dispatch,com.apple.system.loginwindow.restartinitiated
/usr/sbin/systemstats,notify_register_dispatch,com.apple.system.loginwindow.sulogoutinitiated
/usr/sbin/systemstats,notify_register_dispatch,com.apple.system.loginwindow.logoutcancelled
/usr/sbin/systemstats,notify_register_dispatch,com.apple.system.loginwindow.logoutNoReturn
/usr/sbin/systemstats,notify_register_dispatch,SignificantTimeChangeNotification
/usr/sbin/systemstats,notify_register_dispatch,com.apple.system.clock_set
/usr/sbin/systemstats,notify_register_dispatch,com.apple.system.powermanagement.useractivity
/usr/sbin/systemstats,notify_register_dispatch,com.apple.systemstats.sample-processes-done
